"order_id","order_date","ship_date","ship_mode","customer_id","customer_name","segment","country","city","state","postal_code","region","product_id","category","sub_category","product_name","sales","quantity","discount","profit","profit_margin"
"US-2017-109484","2017-11-06","2017-11-12","Standard Class","RB-19705","Roger Barcio","Home Office","United States","Portland","Oregon","97206","West","OFF-BI-10004738","Office Supplies","Binders","Flexible Leather- Look Classic Collection Ring Binder","5.682",1,"0.70","-3.7880","-0.6667"
"CA-2016-158568","2016-08-29","2016-09-02","Standard Class","RB-19465","Rick Bensley","Home Office","United States","Chicago","Illinois","60610","Central","OFF-BI-10002609","Office Supplies","Binders","Avery Hidden Tab Dividers for Binding Systems","1.788",3,"0.80","-3.0396","-1.7000"
"US-2015-156867","2015-11-13","2015-11-17","Standard Class","LC-16870","Lena Cacioppo","Consumer","United States","Aurora","Colorado","80013","West","OFF-BI-10002794","Office Supplies","Binders","Avery Trapezoid Ring Binder  3 Capacity  Black  1040 sheets","36.882",3,"0.70","-25.8174","-0.7000"
"US-2015-136476","2015-04-05","2015-04-10","Standard Class","GG-14650","Greg Guthrie","Corporate","United States","Bristol","Tennessee","37620","South","OFF-BI-10003650","Office Supplies","Binders","GBC DocuBind 300 Electric Binding Machine","157.794",1,"0.70","-115.7156","-0.7333"
"US-2014-134614","2014-09-20","2014-09-25","Standard Class","PF-19165","Philip Fox","Consumer","United States","Bloomington","Illinois","61701","Central","FUR-TA-10004534","Furniture","Tables","Bevis 44 x 96 Conference Tables","617.700",6,"0.50","-407.6820","-0.6600"
"US-2017-107272","2017-11-05","2017-11-12","Standard Class","TS-21610","Troy Staebel","Consumer","United States","Phoenix","Arizona","85023","West","OFF-BI-10003274","Office Supplies","Binders","Avery Durable Slant Ring Binders  No Labels","2.388",2,"0.70","-1.8308","-0.7667"
"US-2017-164147","2017-02-02","2017-02-05","First Class","DW-13585","Dorothy Wardle","Corporate","United States","Columbus","Ohio","43229","East","TEC-PH-10002293","Technology","Phones","Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5","59.970",5,"0.40","-11.9940","-0.2000"
"CA-2014-139892","2014-09-08","2014-09-12","Standard Class","BM-11140","Becky Martin","Consumer","United States","San Antonio","Texas","78207","Central","OFF-AP-10002518","Office Supplies","Appliances","Kensington 7 Outlet MasterPiece Power Center","177.980",5,"0.80","-453.8490","-2.5500"
"US-2014-100853","2014-09-14","2014-09-19","Standard Class","JB-15400","Jennifer Braxton","Corporate","United States","Chicago","Illinois","60623","Central","OFF-AP-10000891","Office Supplies","Appliances","Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center","52.448",2,"0.80","-131.1200","-2.5000"
"US-2017-152366","2017-04-21","2017-04-25","Second Class","SJ-20500","Shirley Jackson","Consumer","United States","Houston","Texas","77036","Central","OFF-AP-10002684","Office Supplies","Appliances","Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","97.264",4,"0.80","-243.1600","-2.5000"
"US-2017-124303","2017-07-06","2017-07-13","Standard Class","FH-14365","Fred Hopkins","Corporate","United States","Philadelphia","Pennsylvania","19120","East","OFF-BI-10000343","Office Supplies","Binders","Pressboard Covers with Storage Hooks  9 1/2 x 11  Light Blue","2.946",2,"0.70","-2.2586","-0.7667"
"CA-2014-133690","2014-08-03","2014-08-05","First Class","BS-11755","Bruce Stewart","Consumer","United States","Denver","Colorado","80219","West","FUR-TA-10004289","Furniture","Tables","BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","218.750",2,"0.50","-161.8750","-0.7400"
"US-2017-116701","2017-12-17","2017-12-21","Second Class","LC-17140","Logan Currie","Consumer","United States","Dallas","Texas","75220","Central","OFF-AP-10003217","Office Supplies","Appliances","Eureka Sanitaire  Commercial Upright","66.284",2,"0.80","-178.9668","-2.7000"
"CA-2015-146262","2015-01-02","2015-01-09","Standard Class","VW-21775","Victoria Wilson","Corporate","United States","Medina","Ohio","44256","East","FUR-BO-10004695","Furniture","Bookcases","O'Sullivan 2-Door Barrister Bookcase in Odessa Pine","452.450",5,"0.50","-244.3230","-0.5400"
"CA-2015-146262","2015-01-02","2015-01-09","Standard Class","VW-21775","Victoria Wilson","Corporate","United States","Medina","Ohio","44256","East","TEC-PH-10002844","Technology","Phones","Speck Products Candyshell Flip Case","62.982",3,"0.40","-14.6958","-0.2333"
"CA-2015-146262","2015-01-02","2015-01-09","Standard Class","VW-21775","Victoria Wilson","Corporate","United States","Medina","Ohio","44256","East","TEC-MA-10000864","Technology","Machines","Cisco 9971 IP Video Phone Charcoal","1188.000",9,"0.70","-950.4000","-0.8000"
"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","Joni Blumstein","Consumer","United States","Dublin","Ohio","43017","East","OFF-BI-10002852","Office Supplies","Binders","Ibico Standard Transparent Covers","19.776",4,"0.70","-13.8432","-0.7000"
"CA-2015-169397","2015-12-24","2015-12-27","First Class","JB-15925","Joni Blumstein","Consumer","United States","Dublin","Ohio","43017","East","TEC-MA-10001148","Technology","Machines","Swingline SM12-08 MicroCut Jam Free Shredder","479.988",4,"0.70","-383.9904","-0.8000"
"US-2014-156216","2014-09-13","2014-09-17","Standard Class","EA-14035","Erin Ashbrook","Corporate","United States","Charlotte","North Carolina","28205","South","OFF-BI-10001679","Office Supplies","Binders","GBC Instant Index System for Binding Systems","18.648",7,"0.70","-12.4320","-0.6667"
"US-2017-100930","2017-04-07","2017-04-12","Standard Class","CS-12400","Christopher Schild","Home Office","United States","Tampa","Florida","33614","South","FUR-TA-10001705","Furniture","Tables","Bush Advantage Collection Round Conference Table","233.860",2,"0.45","-102.0480","-0.4364"
"US-2017-100930","2017-04-07","2017-04-12","Standard Class","CS-12400","Christopher Schild","Home Office","United States","Tampa","Florida","33614","South","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops","620.615",3,"0.45","-248.2458","-0.4000"
"US-2017-100930","2017-04-07","2017-04-12","Standard Class","CS-12400","Christopher Schild","Home Office","United States","Tampa","Florida","33614","South","OFF-BI-10001679","Office Supplies","Binders","GBC Instant Index System for Binding Systems","5.328",2,"0.70","-3.5520","-0.6667"
"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","Ken Lonsdale","Consumer","United States","Chicago","Illinois","60610","Central","FUR-FU-10000576","Furniture","Furnishings","Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base","419.680",5,"0.60","-356.7280","-0.8500"
"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","Ken Lonsdale","Consumer","United States","Chicago","Illinois","60610","Central","FUR-FU-10004351","Furniture","Furnishings","Staple-based wall hangings","11.688",3,"0.60","-4.6752","-0.4000"
"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","Ken Lonsdale","Consumer","United States","Chicago","Illinois","60610","Central","FUR-TA-10002607","Furniture","Tables","KI Conference Tables","177.225",5,"0.50","-120.5130","-0.6800"
"CA-2016-157749","2016-06-04","2016-06-09","Second Class","KL-16645","Ken Lonsdale","Consumer","United States","Chicago","Illinois","60610","Central","FUR-FU-10002505","Furniture","Furnishings","Eldon 100 Class Desk Accessories","4.044",3,"0.60","-2.8308","-0.7000"
"US-2015-159982","2015-11-28","2015-12-04","Standard Class","DR-12880","Dan Reichenbach","Corporate","United States","Chicago","Illinois","60623","Central","FUR-FU-10002505","Furniture","Furnishings","Eldon 100 Class Desk Accessories","12.132",9,"0.60","-8.4924","-0.7000"
"US-2017-155299","2017-06-08","2017-06-12","Standard Class","Dl-13600","Dorris liebe","Corporate","United States","Pasadena","Texas","77506","Central","OFF-AP-10002203","Office Supplies","Appliances","Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac","1.624",2,"0.80","-4.4660","-2.7500"
"US-2015-161991","2015-09-26","2015-09-28","Second Class","SC-20725","Steven Cartwright","Consumer","United States","Houston","Texas","77070","Central","OFF-BI-10004967","Office Supplies","Binders","Round Ring Binders","2.080",5,"0.80","-3.4320","-1.6500"
"CA-2016-112697","2016-12-18","2016-12-20","Second Class","AH-10195","Alan Haines","Corporate","United States","Tamarac","Florida","33319","South","OFF-BI-10000778","Office Supplies","Binders","GBC VeloBinder Electric Binding Machine","254.058",7,"0.70","-169.3720","-0.6667"
"CA-2016-110772","2016-11-20","2016-11-24","Second Class","NZ-18565","Nick Zandusky","Home Office","United States","Columbus","Ohio","43229","East","FUR-BO-10004709","Furniture","Bookcases","Bush Westfield Collection Bookcases  Medium Cherry Finish","86.970",3,"0.50","-48.7032","-0.5600"
"CA-2014-111451","2014-12-26","2014-12-28","First Class","KL-16555","Kelly Lampkin","Corporate","United States","Colorado Springs","Colorado","80906","West","OFF-BI-10004593","Office Supplies","Binders","Ibico Laser Imprintable Binding System Covers","78.600",5,"0.70","-62.8800","-0.8000"
"US-2017-152380","2017-11-19","2017-11-23","Standard Class","JH-15910","Jonathan Howell","Consumer","United States","Chicago","Illinois","60623","Central","FUR-TA-10002533","Furniture","Tables","BPI Conference Tables","219.075",3,"0.50","-131.4450","-0.6000"
"US-2016-141544","2016-08-30","2016-09-01","First Class","PO-18850","Patrick O'Brill","Consumer","United States","Philadelphia","Pennsylvania","19143","East","TEC-PH-10003645","Technology","Phones","Aastra 57i VoIP phone","290.898",3,"0.40","-67.8762","-0.2333"
"US-2016-141544","2016-08-30","2016-09-01","First Class","PO-18850","Patrick O'Brill","Consumer","United States","Philadelphia","Pennsylvania","19143","East","OFF-BI-10001524","Office Supplies","Binders","GBC Premium Transparent Covers with Diagonal Lined Pattern","37.764",6,"0.70","-27.6936","-0.7333"
"US-2016-150147","2016-04-25","2016-04-29","Second Class","JL-15850","John Lucas","Consumer","United States","Philadelphia","Pennsylvania","19134","East","TEC-PH-10004614","Technology","Phones","AT&T 841000 Phone","82.800",2,"0.40","-20.7000","-0.2500"
"US-2016-150147","2016-04-25","2016-04-29","Second Class","JL-15850","John Lucas","Consumer","United States","Philadelphia","Pennsylvania","19134","East","OFF-BI-10001153","Office Supplies","Binders","Ibico Recycled Grain-Textured Covers","20.724",2,"0.70","-13.8160","-0.6667"
"US-2016-150147","2016-04-25","2016-04-29","Second Class","JL-15850","John Lucas","Consumer","United States","Philadelphia","Pennsylvania","19134","East","OFF-BI-10001982","Office Supplies","Binders","Wilson Jones Custom Binder Spines & Labels","4.896",3,"0.70","-3.4272","-0.7000"
"CA-2014-122336","2014-04-13","2014-04-17","Second Class","JD-15895","Jonathan Doherty","Corporate","United States","Philadelphia","Pennsylvania","19140","East","OFF-BI-10003656","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine","509.970",10,"0.70","-407.9760","-0.8000"
"US-2014-119137","2014-07-23","2014-07-27","Standard Class","AG-10900","Arthur Gainer","Consumer","United States","Tucson","Arizona","85705","West","OFF-BI-10001982","Office Supplies","Binders","Wilson Jones Custom Binder Spines & Labels","8.160",5,"0.70","-5.7120","-0.7000"
"CA-2015-130792","2015-04-28","2015-05-05","Standard Class","RA-19915","Russell Applegate","Consumer","United States","Houston","Texas","77095","Central","OFF-AP-10000696","Office Supplies","Appliances","Holmes Odor Grabber","8.652",3,"0.80","-20.3322","-2.3500"
"CA-2015-130792","2015-04-28","2015-05-05","Standard Class","RA-19915","Russell Applegate","Consumer","United States","Houston","Texas","77095","Central","OFF-BI-10000309","Office Supplies","Binders","GBC Twin Loop Wire Binding Elements  9/16 Spine  Black","12.176",4,"0.80","-18.8728","-1.5500"
"US-2015-168935","2015-11-27","2015-12-02","Standard Class","DO-13435","Denny Ordway","Consumer","United States","Pembroke Pines","Florida","33024","South","FUR-TA-10000617","Furniture","Tables","Hon Practical Foundations 30 x 60 Training Table  Light Gray/Charcoal","375.458",3,"0.45","-157.0095","-0.4182"
"CA-2015-122756","2015-12-03","2015-12-07","Standard Class","DK-13225","Dean Katz","Corporate","United States","Philadelphia","Pennsylvania","19140","East","TEC-MA-10001681","Technology","Machines","Lexmark MarkNet N8150 Wireless Print Server","482.340",4,"0.70","-337.6380","-0.7000"
"US-2014-134971","2014-06-07","2014-06-10","Second Class","BP-11095","Bart Pistole","Corporate","United States","Peoria","Illinois","61604","Central","OFF-BI-10003982","Office Supplies","Binders","Wilson Jones Century Plastic Molded Ring Binders","12.462",3,"0.80","-20.5623","-1.6500"
"CA-2016-108987","2016-09-08","2016-09-10","Second Class","AG-10675","Anna Gayman","Consumer","United States","Houston","Texas","77036","Central","FUR-BO-10004834","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish","2396.266",4,"0.32","-317.1528","-0.1324"
"US-2016-123750","2016-04-15","2016-04-21","Standard Class","RB-19795","Ross Baird","Home Office","United States","Gastonia","North Carolina","28052","South","OFF-BI-10004584","Office Supplies","Binders","GBC ProClick 150 Presentation Binding System","189.588",2,"0.70","-145.3508","-0.7667"
"US-2014-150574","2014-12-19","2014-12-25","Standard Class","MK-18160","Mike Kennedy","Consumer","United States","Jacksonville","Florida","32216","South","OFF-BI-10000773","Office Supplies","Binders","Insertable Tab Post Binder Dividers","4.812",2,"0.70","-3.6892","-0.7667"
"CA-2017-147277","2017-10-20","2017-10-24","Standard Class","EB-13705","Ed Braxton","Corporate","United States","Akron","Ohio","44312","East","FUR-TA-10001539","Furniture","Tables","Chromcraft Rectangular Conference Tables","284.364",2,"0.40","-75.8304","-0.2667"
"CA-2016-109869","2016-04-22","2016-04-29","Standard Class","TN-21040","Tanja Norvell","Home Office","United States","Phoenix","Arizona","85023","West","FUR-TA-10001889","Furniture","Tables","Bush Advantage Collection Racetrack Conference Table","1272.630",6,"0.50","-814.4832","-0.6400"
"CA-2016-109869","2016-04-22","2016-04-29","Standard Class","TN-21040","Tanja Norvell","Home Office","United States","Phoenix","Arizona","85023","West","OFF-BI-10000315","Office Supplies","Binders","Poly Designer Cover & Back","28.485",5,"0.70","-20.8890","-0.7333"
"US-2015-101399","2015-01-17","2015-01-24","Standard Class","JS-15940","Joni Sundaresam","Home Office","United States","Park Ridge","Illinois","60068","Central","FUR-FU-10002918","Furniture","Furnishings","Eldon ClusterMat Chair Mat with Cordless Antistatic Protection","254.744",7,"0.60","-312.0614","-1.2250"
"CA-2017-154907","2017-03-31","2017-04-04","Standard Class","DS-13180","David Smith","Corporate","United States","Amarillo","Texas","79109","Central","FUR-BO-10002824","Furniture","Bookcases","Bush Mission Pointe Library","205.333",2,"0.32","-36.2352","-0.1765"
"US-2016-100419","2016-12-16","2016-12-20","Second Class","CC-12670","Craig Carreira","Consumer","United States","Chicago","Illinois","60610","Central","OFF-BI-10002194","Office Supplies","Binders","Cardinal Hold-It CD Pocket","4.788",3,"0.80","-7.9002","-1.6500"
"US-2016-120929","2016-03-18","2016-03-21","Second Class","RO-19780","Rose O'Brian","Consumer","United States","Memphis","Tennessee","38109","South","FUR-TA-10001857","Furniture","Tables","Balt Solid Wood Rectangular Table","189.882",3,"0.40","-94.9410","-0.5000"
"US-2016-105578","2016-05-30","2016-06-04","Standard Class","MY-17380","Maribeth Yedwab","Corporate","United States","Parker","Colorado","80134","West","OFF-BI-10001670","Office Supplies","Binders","Vinyl Sectional Post Binders","22.620",2,"0.70","-15.0800","-0.6667"
"US-2016-105578","2016-05-30","2016-06-04","Standard Class","MY-17380","Maribeth Yedwab","Corporate","United States","Parker","Colorado","80134","West","OFF-BI-10001658","Office Supplies","Binders","GBC Standard Therm-A-Bind Covers","14.952",2,"0.70","-11.9616","-0.8000"
"US-2016-105578","2016-05-30","2016-06-04","Standard Class","MY-17380","Maribeth Yedwab","Corporate","United States","Parker","Colorado","80134","West","OFF-BI-10000831","Office Supplies","Binders","Storex Flexible Poly Binders with Double Pockets","2.376",3,"0.70","-1.9008","-0.8000"
"CA-2015-157812","2015-03-22","2015-03-26","Standard Class","DB-13210","Dean Braden","Consumer","United States","Houston","Texas","77041","Central","OFF-BI-10000285","Office Supplies","Binders","XtraLife ClearVue Slant-D Ring Binders by Cardinal","14.112",9,"0.80","-21.1680","-1.5000"
"US-2017-122637","2017-09-03","2017-09-08","Second Class","EP-13915","Emily Phan","Consumer","United States","Chicago","Illinois","60653","Central","OFF-BI-10002429","Office Supplies","Binders","Premier Elliptical Ring Binder  Black","42.616",7,"0.80","-68.1856","-1.6000"
"CA-2014-103849","2014-05-11","2014-05-16","Standard Class","PG-18895","Paul Gonzalez","Consumer","United States","Fort Worth","Texas","76106","Central","FUR-FU-10000723","Furniture","Furnishings","Deflect-o EconoMat Studded  No Bevel Mat for Low Pile Carpeting","66.112",4,"0.60","-84.2928","-1.2750"
"CA-2015-113173","2015-11-15","2015-11-17","Second Class","DK-13225","Dean Katz","Corporate","United States","Chicago","Illinois","60653","Central","OFF-BI-10004738","Office Supplies","Binders","Flexible Leather- Look Classic Collection Ring Binder","11.364",3,"0.80","-17.0460","-1.5000"
"CA-2017-118640","2017-07-20","2017-07-26","Standard Class","CS-11950","Carlos Soltero","Consumer","United States","Chicago","Illinois","60610","Central","FUR-FU-10001475","Furniture","Furnishings","Contract Clock  14  Brown","8.792",1,"0.60","-5.7148","-0.6500"
"CA-2017-145233","2017-12-01","2017-12-05","Standard Class","DV-13465","Dianna Vittorini","Consumer","United States","Denver","Colorado","80219","West","OFF-BI-10002764","Office Supplies","Binders","Recycled Pressboard Report Cover with Reinforced Top Hinge","6.783",7,"0.70","-4.7481","-0.7000"
"US-2016-156986","2016-03-20","2016-03-24","Standard Class","ZC-21910","Zuschuss Carroll","Consumer","United States","Salem","Oregon","97301","West","OFF-BI-10002498","Office Supplies","Binders","Clear Mylar Reinforcing Strips","16.821",3,"0.70","-12.8961","-0.7667"
"US-2016-100720","2016-07-16","2016-07-21","Standard Class","CK-12205","Chloris Kastensmidt","Consumer","United States","Philadelphia","Pennsylvania","19120","East","TEC-PH-10001425","Technology","Phones","Mophie Juice Pack Helium for iPhone","143.982",3,"0.40","-28.7964","-0.2000"
"US-2016-100720","2016-07-16","2016-07-21","Standard Class","CK-12205","Chloris Kastensmidt","Consumer","United States","Philadelphia","Pennsylvania","19120","East","TEC-PH-10003963","Technology","Phones","GE 2-Jack Phone Line Splitter","494.376",4,"0.40","-115.3544","-0.2333"
"CA-2014-149958","2014-03-15","2014-03-19","Standard Class","AS-10240","Alan Shonely","Consumer","United States","Tampa","Florida","33614","South","OFF-BI-10000773","Office Supplies","Binders","Insertable Tab Post Binder Dividers","7.218",3,"0.70","-5.5338","-0.7667"
"CA-2014-149958","2014-03-15","2014-03-19","Standard Class","AS-10240","Alan Shonely","Consumer","United States","Tampa","Florida","33614","South","OFF-BI-10001543","Office Supplies","Binders","GBC VeloBinder Manual Binding System","43.188",4,"0.70","-31.6712","-0.7333"
"US-2014-105767","2014-05-23","2014-05-27","Standard Class","AR-10510","Andrew Roberts","Consumer","United States","Philadelphia","Pennsylvania","19134","East","OFF-BI-10000848","Office Supplies","Binders","Angle-D Ring Binders","3.282",2,"0.70","-2.6256","-0.8000"
"US-2014-105767","2014-05-23","2014-05-27","Standard Class","AR-10510","Andrew Roberts","Consumer","United States","Philadelphia","Pennsylvania","19134","East","TEC-PH-10003092","Technology","Phones","Motorola L804","55.188",2,"0.40","-10.1178","-0.1833"
"CA-2016-121223","2016-09-11","2016-09-13","Second Class","GD-14590","Giulietta Dortch","Corporate","United States","Philadelphia","Pennsylvania","19143","East","TEC-PH-10004667","Technology","Phones","Cisco 8x8 Inc. 6753i IP Business Phone System","728.946",9,"0.40","-157.9383","-0.2167"
"CA-2017-138611","2017-11-14","2017-11-17","Second Class","CK-12595","Clytie Kelty","Consumer","United States","Grove City","Ohio","43123","East","OFF-BI-10002949","Office Supplies","Binders","Prestige Round Ring Binders","3.648",2,"0.70","-2.7968","-0.7667"
"US-2014-111171","2014-12-26","2014-12-31","Standard Class","CA-12265","Christina Anderson","Consumer","United States","Chicago","Illinois","60610","Central","OFF-BI-10002103","Office Supplies","Binders","Cardinal Slant-D Ring Binder  Heavy Gauge Vinyl","8.690",5,"0.80","-14.7730","-1.7000"
"US-2016-123470","2016-08-15","2016-08-21","Standard Class","ME-17725","Max Engle","Consumer","United States","Aurora","Colorado","80013","West","OFF-BI-10001989","Office Supplies","Binders","Premium Transparent Presentation Covers by GBC","18.882",3,"0.70","-13.8468","-0.7333"
"CA-2016-137239","2016-08-22","2016-08-28","Standard Class","CR-12730","Craig Reiter","Consumer","United States","Columbus","Ohio","43229","East","OFF-BI-10002827","Office Supplies","Binders","Avery Durable Poly Binders","3.318",2,"0.70","-2.6544","-0.8000"
"US-2016-156097","2016-09-19","2016-09-19","Same Day","EH-14125","Eugene Hildebrand","Home Office","United States","Aurora","Illinois","60505","Central","OFF-BI-10004654","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets","2.308",2,"0.80","-3.4620","-1.5000"
"CA-2015-146563","2015-08-24","2015-08-28","Standard Class","CB-12025","Cassandra Brandow","Consumer","United States","Arlington","Texas","76017","Central","OFF-BI-10003981","Office Supplies","Binders","Avery Durable Plastic 1 Binders","2.724",3,"0.80","-4.2222","-1.5500"
"US-2017-106663","2017-06-09","2017-06-13","Standard Class","MO-17800","Meg O'Connel","Home Office","United States","Chicago","Illinois","60653","Central","FUR-FU-10002759","Furniture","Furnishings","12-1/2 Diameter Round Wall Clock","23.976",3,"0.60","-14.3856","-0.6000"
"US-2017-106663","2017-06-09","2017-06-13","Standard Class","MO-17800","Meg O'Connel","Home Office","United States","Chicago","Illinois","60653","Central","FUR-TA-10000688","Furniture","Tables","Chromcraft Bull-Nose Wood Round Conference Table Top  Wood Base","108.925",1,"0.50","-71.8905","-0.6600"
"US-2017-119438","2017-03-18","2017-03-23","Standard Class","CD-11980","Carol Darley","Consumer","United States","Tyler","Texas","75701","Central","OFF-AP-10000804","Office Supplies","Appliances","Hoover Portapower Portable Vacuum","2.688",3,"0.80","-7.3920","-2.7500"
"US-2017-119438","2017-03-18","2017-03-23","Standard Class","CD-11980","Carol Darley","Consumer","United States","Tyler","Texas","75701","Central","FUR-FU-10003553","Furniture","Furnishings","Howard Miller 13-1/2 Diameter Rosebrook Wall Clock","82.524",3,"0.60","-41.2620","-0.5000"
"US-2017-119438","2017-03-18","2017-03-23","Standard Class","CD-11980","Carol Darley","Consumer","United States","Tyler","Texas","75701","Central","OFF-BI-10004632","Office Supplies","Binders","Ibico Hi-Tech Manual Binding System","182.994",3,"0.80","-320.2395","-1.7500"
"CA-2015-119291","2015-05-14","2015-05-17","First Class","JO-15550","Jesus Ocampo","Home Office","United States","Chester","Pennsylvania","19013","East","OFF-BI-10001575","Office Supplies","Binders","GBC Linen Binding Covers","18.588",2,"0.70","-13.6312","-0.7333"
"CA-2015-119291","2015-05-14","2015-05-17","First Class","JO-15550","Jesus Ocampo","Home Office","United States","Chester","Pennsylvania","19013","East","OFF-BI-10001982","Office Supplies","Binders","Wilson Jones Custom Binder Spines & Labels","4.896",3,"0.70","-3.4272","-0.7000"
"US-2016-150861","2016-12-03","2016-12-06","First Class","EG-13900","Emily Grady","Consumer","United States","Oceanside","New York","11572","East","FUR-TA-10002228","Furniture","Tables","Bevis Traditional Conference Table Top  Plinth Base","400.032",2,"0.40","-153.3456","-0.3833"
"CA-2014-112326","2014-01-04","2014-01-08","Standard Class","PO-19195","Phillina Ober","Home Office","United States","Naperville","Illinois","60540","Central","OFF-BI-10004094","Office Supplies","Binders","GBC Standard Plastic Binding Systems Combs","3.540",2,"0.80","-5.4870","-1.5500"
"CA-2016-140928","2016-09-18","2016-09-22","Standard Class","NB-18655","Nona Balk","Corporate","United States","Jacksonville","Florida","32216","South","FUR-TA-10001095","Furniture","Tables","Chromcraft Round Conference Tables","383.438",4,"0.45","-167.3184","-0.4364"
"CA-2015-114923","2015-02-08","2015-02-13","Standard Class","LH-17020","Lisa Hazard","Consumer","United States","Columbus","Ohio","43229","East","TEC-PH-10003931","Technology","Phones","JBL Micro Wireless Portable Bluetooth Speaker","107.982",3,"0.40","-26.9955","-0.2500"
"US-2015-157014","2015-10-03","2015-10-06","Second Class","BM-11785","Bryan Mills","Consumer","United States","Columbus","Ohio","43229","East","OFF-BI-10001098","Office Supplies","Binders","Acco D-Ring Binder w/DublLock","32.070",5,"0.70","-22.4490","-0.7000"
"US-2015-157014","2015-10-03","2015-10-06","Second Class","BM-11785","Bryan Mills","Consumer","United States","Columbus","Ohio","43229","East","FUR-BO-10004409","Furniture","Bookcases","Safco Value Mate Series Steel Bookcases  Baked Enamel Finish on Steel  Gray","35.490",1,"0.50","-15.6156","-0.4400"
"CA-2014-140858","2014-06-28","2014-07-02","Standard Class","CA-12775","Cynthia Arntzen","Consumer","United States","Philadelphia","Pennsylvania","19140","East","OFF-BI-10003094","Office Supplies","Binders","Self-Adhesive Ring Binder Labels","3.168",3,"0.70","-2.4288","-0.7667"
